"","p_val","avg_log2FC","p_val_adj"
"ATP6V0B",2.07512092476564e-07,1.22438309334599,0.000943349972398458
"BRINP3",9.23253500031915e-06,0.731490711032283,0.00839422082229017
"RAB39A",6.44117529374383e-06,1.32492235802261,0.00839422082229017
"DNAJB1",6.51738425175852e-06,1.19193785410586,0.00839422082229017
"HPCAL1",8.75587245891551e-06,0.705012869954746,0.00839422082229017
"CYP39A1",1.17917136758281e-05,3.42962242784376,0.00893418839505244
"CNTN3",2.4752997735628e-05,1.03233570637699,0.0140658909632706
"TMEM182",2.34712625736574e-05,1.5680044560819,0.0140658909632706
"YJEFN3",5.27290194788395e-05,2.38548561570808,0.026634013616756
"EGR3",5.90481481122554e-05,4.28144148071701,0.0268432881318313
"RNF217-AS1",7.73433512298202e-05,-1.18494289222516,0.0301752935329102
"GPRASP1",7.96532165408981e-05,0.758708703823836,0.0301752935329102
"CEBPB",0.000100910638335176,2.2879669197152,0.0352876739901315
"GALNT13",0.000122956127111644,0.262997958803244,0.0372210491253651
"PTK2B",0.000127926209756427,1.48718861015811,0.0372210491253651
"SMURF1",0.000139190020926354,-0.427749156487704,0.0372210491253651
"CSTB",0.000133450651377056,1.16199887270758,0.0372210491253651
"NDUFS7",0.000148974704763642,1.29149657790961,0.0376243893253064
"PNCK",0.000157814788186865,1.23700993955058,0.0377592645840782
"MMP23B",0.000187488321854091,3.32712316490553,0.0387419050522136
"CHN2",0.000181106714708751,2.74208866887517,0.0387419050522136
"ALDOA",0.000181683199328671,4.74475179904749,0.0387419050522136
"TBC1D12",0.000215645577896195,-0.749476222382057,0.0426228172659175
"IFRD1",0.000244522733378415,0.761558251502503,0.0463166810807614
"COX4I1",0.000262892608577566,1.39613772330124,0.0471485705402276
"CHMP2A",0.000269657464594351,2.06398620120222,0.0471485705402276
"PRDX1",0.000286594823679666,1.61949047090893,0.0482540766091763
"ADRM1",0.000330114228466923,1.87914745517893,0.0500233094203545
"NDUFA4",0.000320851337892141,1.792675012769,0.0500233094203545
"PRELID3B",0.000312930671081147,1.86140237935348,0.0500233094203545
"CDH11",0.000342454535145649,-0.360382619891476,0.0502193005410362
"ISOC2",0.00038707474713719,2.46725796559091,0.0549888062651771
"CA8",0.000529879368661424,1.07116577496762,0.0708479885274952
"C9orf153",0.000520139962352636,1.23747528610233,0.0708479885274952
"PKP2",0.00057757006555339,2.51611934814249,0.0740082497410775
"BRICD5",0.00058607500894826,1.59133293817639,0.0740082497410775
