Analysis Type:	PANTHER Overrepresentation Test (Released 20240226)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (659)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
cellular response to triacyl bacterial lipopeptide (GO:0071727)	3	3	.10	+	31.23	3.27E-05	1.14E-03
response to triacyl bacterial lipopeptide (GO:0071725)	3	3	.10	+	31.23	3.27E-05	1.14E-03
detection of bacterial lipopeptide (GO:0070340)	3	3	.10	+	31.23	3.27E-05	1.14E-03
vertebrate eye-specific patterning (GO:0150064)	3	3	.10	+	31.23	3.27E-05	1.13E-03
vestibulocochlear nerve structural organization (GO:0021649)	2	2	.06	+	31.23	1.02E-03	1.93E-02
antigen processing and presentation of endogenous peptide antigen via MHC class II (GO:0002491)	2	2	.06	+	31.23	1.02E-03	1.93E-02
regulation of glucosylceramide catabolic process (GO:2000752)	2	2	.06	+	31.23	1.02E-03	1.93E-02
nephron tubule epithelial cell differentiation (GO:0072160)	2	2	.06	+	31.23	1.02E-03	1.93E-02
positive regulation of type III hypersensitivity (GO:0001805)	2	2	.06	+	31.23	1.02E-03	1.92E-02
regulation of type III hypersensitivity (GO:0001803)	2	2	.06	+	31.23	1.02E-03	1.92E-02
MHC class II biosynthetic process (GO:0045342)	2	2	.06	+	31.23	1.02E-03	1.92E-02
toll-like receptor TLR6:TLR2 signaling pathway (GO:0038124)	2	2	.06	+	31.23	1.02E-03	1.92E-02
negative regulation of interleukin-23 production (GO:0032707)	2	2	.06	+	31.23	1.02E-03	1.91E-02
regulation of interleukin-3 production (GO:0032672)	2	2	.06	+	31.23	1.02E-03	1.91E-02
dorsal root ganglion morphogenesis (GO:1904835)	2	2	.06	+	31.23	1.02E-03	1.91E-02
negative regulation of interleukin-6-mediated signaling pathway (GO:0070104)	2	2	.06	+	31.23	1.02E-03	1.91E-02
