Analysis Type:	PANTHER Overrepresentation Test (Released 20240226)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (951)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
lymphocyte aggregation (GO:0071593)	5	4	.23	+	17.31	2.18E-05	9.29E-04
electron transport coupled proton transport (GO:0015990)	5	4	.23	+	17.31	2.18E-05	9.27E-04
energy coupled proton transmembrane transport, against electrochemical gradient (GO:0015988)	5	4	.23	+	17.31	2.18E-05	9.24E-04
antigen processing and presentation of exogenous peptide antigen via MHC class Ib (GO:0002477)	4	3	.18	+	16.23	3.80E-04	1.19E-02
positive regulation of CD8-positive, alpha-beta T cell proliferation (GO:2000566)	4	3	.18	+	16.23	3.80E-04	1.19E-02
positive regulation of plasma membrane repair (GO:1905686)	4	3	.18	+	16.23	3.80E-04	1.19E-02
plasma membrane lactate transport (GO:0035879)	4	3	.18	+	16.23	3.80E-04	1.18E-02
regulation of monocyte extravasation (GO:2000437)	6	4	.28	+	14.43	6.31E-05	2.37E-03
protection from natural killer cell mediated cytotoxicity (GO:0042270)	6	4	.28	+	14.43	6.31E-05	2.37E-03
regulation of natural killer cell cytokine production (GO:0002727)	9	6	.42	+	14.43	7.14E-07	4.11E-05
positive regulation of T cell differentiation in thymus (GO:0033089)	11	7	.51	+	13.77	1.23E-07	8.11E-06
CD8-positive, alpha-beta T cell differentiation (GO:0043374)	8	5	.37	+	13.53	1.04E-05	4.77E-04
positive regulation of natural killer cell cytokine production (GO:0002729)	8	5	.37	+	13.53	1.04E-05	4.76E-04
NK T cell differentiation (GO:0001865)	5	3	.23	+	12.98	9.17E-04	2.60E-02
positive regulation of pyroptosis (GO:0140639)	5	3	.23	+	12.98	9.17E-04	2.60E-02
positive regulation of monocyte extravasation (GO:2000439)	5	3	.23	+	12.98	9.17E-04	2.59E-02
regulation of eosinophil migration (GO:2000416)	5	3	.23	+	12.98	9.17E-04	2.59E-02
membrane to membrane docking (GO:0022614)	5	3	.23	+	12.98	9.17E-04	2.58E-02
CD8-positive, alpha-beta T cell activation (GO:0036037)	12	7	.55	+	12.62	2.84E-07	1.75E-05
positive regulation of natural killer cell mediated immunity (GO:0002717)	33	19	1.52	+	12.46	1.59E-17	3.90E-15
cytolysis in another organism (GO:0051715)	7	4	.32	+	12.37	1.42E-04	4.89E-03
regulation of plasma membrane repair (GO:1905684)	7	4	.32	+	12.37	1.42E-04	4.88E-03
negative regulation of amyloid precursor protein biosynthetic process (GO:0042985)	7	4	.32	+	12.37	1.42E-04	4.87E-03
positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	28	16	1.29	+	12.37	6.90E-15	1.24E-12
CD4-positive, alpha-beta T cell proliferation (GO:0035739)	9	5	.42	+	12.02	2.25E-05	9.49E-04
regulation of cell-cell adhesion mediated by integrin (GO:0033632)	11	6	.51	+	11.80	3.63E-06	1.82E-04
leukocyte aggregation (GO:0070486)	11	6	.51	+	11.80	3.63E-06	1.82E-04
positive T cell selection (GO:0043368)	35	19	1.62	+	11.75	7.21E-17	1.53E-14
T-helper cell lineage commitment (GO:0002295)	15	8	.69	+	11.54	9.73E-08	6.68E-06
CD4-positive or CD8-positive, alpha-beta T cell lineage commitment (GO:0043369)	22	11	1.02	+	10.82	8.56E-10	8.31E-08
T cell tolerance induction (GO:0002517)	6	3	.28	+	10.82	1.77E-03	4.57E-02
positive regulation of cell-cell adhesion mediated by integrin (GO:0033634)	6	3	.28	+	10.82	1.77E-03	4.56E-02
positive regulation of type II interferon-mediated signaling pathway (GO:0060335)	6	3	.28	+	10.82	1.77E-03	4.55E-02
positive regulation of response to type II interferon (GO:0060332)	6	3	.28	+	10.82	1.77E-03	4.54E-02
negative regulation of T cell mediated cytotoxicity (GO:0001915)	10	5	.46	+	10.82	4.33E-05	1.72E-03
alpha-beta T cell lineage commitment (GO:0002363)	20	10	.92	+	10.82	5.13E-09	4.47E-07
granzyme-mediated programmed cell death signaling pathway (GO:0140507)	10	5	.46	+	10.82	4.33E-05	1.71E-03
positive thymic T cell selection (GO:0045059)	12	6	.55	+	10.82	6.97E-06	3.33E-04
CD4-positive, alpha-beta T cell lineage commitment (GO:0043373)	18	9	.83	+	10.82	3.09E-08	2.38E-06
gamma-delta T cell activation (GO:0046629)	20	10	.92	+	10.82	5.13E-09	4.44E-07
neutrophil clearance (GO:0097350)	6	3	.28	+	10.82	1.77E-03	4.54E-02
T-helper 17 cell lineage commitment (GO:0072540)	10	5	.46	+	10.82	4.33E-05	1.71E-03
T-helper 17 cell differentiation (GO:0072539)	14	7	.65	+	10.82	1.14E-06	6.27E-05
interleukin-2-mediated signaling pathway (GO:0038110)	8	4	.37	+	10.82	2.73E-04	8.84E-03
cellular response to interleukin-2 (GO:0071352)	8	4	.37	+	10.82	2.73E-04	8.82E-03
negative regulation of cellular extravasation (GO:0002692)	8	4	.37	+	10.82	2.73E-04	8.80E-03
thymic T cell selection (GO:0045061)	21	10	.97	+	10.30	9.39E-09	7.95E-07
negative T cell selection (GO:0043383)	13	6	.60	+	9.99	1.24E-05	5.54E-04
regulation of natural killer cell mediated immunity (GO:0002715)	52	24	2.40	+	9.99	8.40E-19	2.37E-16
T cell selection (GO:0045058)	48	22	2.22	+	9.92	2.89E-17	6.69E-15
regulation of natural killer cell mediated cytotoxicity (GO:0042269)	48	22	2.22	+	9.92	2.89E-17	6.59E-15
positive regulation of CD8-positive, alpha-beta T cell activation (GO:2001187)	9	4	.42	+	9.62	4.74E-04	1.45E-02
regulation of CD8-positive, alpha-beta T cell proliferation (GO:2000564)	9	4	.42	+	9.62	4.74E-04	1.45E-02
cytolysis (GO:0019835)	9	4	.42	+	9.62	4.74E-04	1.44E-02
T-helper 1 cell differentiation (GO:0045063)	14	6	.65	+	9.27	2.09E-05	8.98E-04
alpha-beta T cell proliferation (GO:0046633)	14	6	.65	+	9.27	2.09E-05	8.95E-04
positive regulation of lymphocyte chemotaxis (GO:0140131)	21	9	.97	+	9.27	1.65E-07	1.07E-05
negative regulation of natural killer cell mediated immunity (GO:0002716)	21	9	.97	+	9.27	1.65E-07	1.07E-05
positive regulation of antigen receptor-mediated signaling pathway (GO:0050857)	26	11	1.20	+	9.16	7.90E-09	6.77E-07
alpha-beta T cell differentiation involved in immune response (GO:0002293)	45	19	2.08	+	9.14	2.79E-14	4.62E-12
alpha-beta T cell activation involved in immune response (GO:0002287)	45	19	2.08	+	9.14	2.79E-14	4.57E-12
negative thymic T cell selection (GO:0045060)	12	5	.55	+	9.02	1.26E-04	4.41E-03
alpha-beta T cell activation (GO:0046631)	108	45	4.99	+	9.02	1.03E-31	1.57E-28
CD4-positive, alpha-beta T cell differentiation involved in immune response (GO:0002294)	44	18	2.03	+	8.85	2.60E-13	3.74E-11
T-helper cell differentiation (GO:0042093)	44	18	2.03	+	8.85	2.60E-13	3.71E-11
negative regulation of T cell apoptotic process (GO:0070233)	25	10	1.16	+	8.66	7.35E-08	5.18E-06
positive regulation of T cell chemotaxis (GO:0010820)	15	6	.69	+	8.66	3.35E-05	1.36E-03
positive regulation of alpha-beta T cell proliferation (GO:0046641)	25	10	1.16	+	8.66	7.35E-08	5.16E-06
regulation of cardiac muscle hypertrophy in response to stress (GO:1903242)	10	4	.46	+	8.66	7.61E-04	2.22E-02
